experiment,description,max_tokens,hidden_units,learning_rate,batch_size,epochs_requested,epochs_ran,dropout,l2,train_limit,val_accuracy,val_precision,val_recall,val_f1,test_accuracy,test_precision,test_recall,test_f1
e3_regularized,Regularizacion con dropout y L2.,5000,"(128,)",0.001,32,12,6,0.5,0.0001,all,0.7626641651031895,0.7583025830258303,0.7711069418386491,0.7646511627906977,0.7701688555347092,0.7535211267605634,0.8030018761726079,0.7774750227066304
e0_baseline,Modelo simple inicial.,5000,"(32,)",0.001,32,12,6,0.0,0.0,all,0.7457786116322702,0.7330960854092526,0.7729831144465291,0.7525114155251141,0.7589118198874296,0.7438162544169611,0.7898686679174484,0.7661510464058234
e1_more_capacity,Mayor capacidad: mas neuronas en una sola capa oculta.,5000,"(128,)",0.001,32,12,6,0.0,0.0,all,0.7382739212007504,0.7267857142857143,0.7636022514071295,0.7447392497712717,0.7570356472795498,0.7395104895104895,0.7936210131332082,0.7656108597285067
e2_lower_learning_rate,Menor tasa de aprendizaje.,5000,"(64,)",0.0001,32,12,11,0.0,0.0,all,0.7485928705440901,0.7655310621242485,0.7166979362101313,0.7403100775193798,0.7636022514071295,0.7696737044145874,0.7523452157598499,0.7609108159392789
e4_overfitting_demo,Simulacion intencional de overfitting con pocos datos y mucha capacidad.,5000,"(512,)",0.001,32,35,35,0.0,0.0,500,0.6407129455909943,0.6644736842105263,0.5684803001876173,0.6127401415571284,0.6604127579737336,0.6741344195519349,0.6210131332082551,0.646484375
