experiment,description,seed,max_tokens,ngrams,normalize_tfidf,hidden_units,parameters,optimizer,learning_rate,momentum,batch_size,epochs_requested,epochs_ran,dropout,l2,train_limit,early_stopping_monitor,val_loss_best,best_threshold,val_f1_tuned,val_accuracy,val_precision,val_recall,val_f1
gen_linear,Modelo lineal sin capa oculta: frontera logistica directa sobre TF-IDF.,126,10000,2,True,(),10001,adam,0.001,0.0,32,12,8,0.0,0.0,all,val_f1,0.6635424494743347,0.499720811843872,0.7630252100840337,0.7363977485928705,0.6956521739130435,0.8405253283302064,0.7612574341546304
gen_l2_001,Regularizacion L2 fuerte (0.001): penaliza pesos grandes.,7,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,12,0.0,0.001,all,val_f1,0.6654761433601379,0.4960207045078277,0.7484978540772532,0.7288930581613509,0.7033333333333334,0.7917448405253283,0.7449249779346867
gen_l2_001,Regularizacion L2 fuerte (0.001): penaliza pesos grandes.,42,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,6,0.0,0.001,all,val_f1,0.6763560175895691,0.4998815655708313,0.7350714886459209,0.700750469043152,0.6666666666666666,0.8030018761726079,0.7285106382978723
gen_l2_001,Regularizacion L2 fuerte (0.001): penaliza pesos grandes.,126,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,12,0.0,0.001,all,val_f1,0.6631699800491333,0.4406583607196808,0.7535037098103875,0.7073170731707317,0.7688564476885644,0.5928705440900562,0.6694915254237288
gen_dropout_02,Dropout 0.2: apaga neuronas en entrenamiento para reducir dependencia.,7,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,10,0.2,0.0,all,val_f1,0.5021224617958069,0.3901902735233307,0.773067331670823,0.7617260787992496,0.7762376237623763,0.7354596622889306,0.7552986512524085
gen_dropout_02,Dropout 0.2: apaga neuronas en entrenamiento para reducir dependencia.,42,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,9,0.2,0.0,all,val_f1,0.5000455379486084,0.4426460862159729,0.7775891341256367,0.7617260787992496,0.7531760435571688,0.7786116322701688,0.7656826568265682
gen_dropout_02,Dropout 0.2: apaga neuronas en entrenamiento para reducir dependencia.,126,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,11,0.2,0.0,all,val_f1,0.5023658871650696,0.3358453214168548,0.7740345110928513,0.7532833020637899,0.774390243902439,0.7148217636022514,0.7434146341463415
gen_lr_0005,Adam con learning rate 0.0005: aprendizaje mas lento y estable.,7,10000,2,True,"(32,)",320065,adam,0.0005,0.0,32,12,12,0.0,0.0,all,val_f1,0.5019076466560364,0.3163516223430633,0.7728758169934641,0.7551594746716698,0.772,0.724202626641651,0.7473378509196515
gen_lr_0005,Adam con learning rate 0.0005: aprendizaje mas lento y estable.,42,10000,2,True,"(32,)",320065,adam,0.0005,0.0,32,12,6,0.0,0.0,all,val_f1,0.5201162695884705,0.5004363059997559,0.757439134355275,0.7401500938086304,0.7169491525423729,0.7936210131332082,0.7533392698130009
gen_lr_0005,Adam con learning rate 0.0005: aprendizaje mas lento y estable.,126,10000,2,True,"(32,)",320065,adam,0.0005,0.0,32,12,12,0.0,0.0,all,val_f1,0.5024076104164124,0.3664304614067077,0.7724252491694353,0.7598499061913696,0.7867494824016563,0.7129455909943715,0.7480314960629921
