experiment,seed,epoch,train_loss,val_loss,train_accuracy,val_accuracy
gen_es_valloss,7,1,0.6800059676170349,0.6581971049308777,0.6155920028686523,0.7335835099220276
gen_es_valloss,7,2,0.5841972827911377,0.5766310095787048,0.7885111570358276,0.7495309710502625
gen_es_valloss,7,3,0.4562171697616577,0.5265828967094421,0.8547479510307312,0.7523452043533325
gen_es_valloss,7,4,0.365319162607193,0.5062776803970337,0.8875732421875,0.7570356726646423
gen_es_valloss,7,5,0.3017364740371704,0.5018102526664734,0.909847617149353,0.7598499059677124
gen_es_valloss,7,6,0.25404950976371765,0.506666898727417,0.9282532334327698,0.7551594972610474
gen_es_valloss,7,7,0.21638403832912445,0.5177426338195801,0.9405627250671387,0.7495309710502625
gen_es_valloss,7,8,0.1856028139591217,0.533458411693573,0.9519343376159668,0.7457786202430725
gen_es_valloss,7,9,0.15987049043178558,0.5528062582015991,0.9596717357635498,0.7392120361328125
gen_es_valloss,7,10,0.13802722096443176,0.5750850439071655,0.9688159227371216,0.7392120361328125
gen_es_valloss,21,1,0.6805346608161926,0.6588778495788574,0.6373974084854126,0.709193229675293
gen_es_valloss,21,2,0.5876935124397278,0.5807918906211853,0.8071512579917908,0.7317073345184326
gen_es_valloss,21,3,0.46176451444625854,0.530205249786377,0.8566237092018127,0.7457786202430725
gen_es_valloss,21,4,0.3689380884170532,0.5092509388923645,0.8852286338806152,0.7439024448394775
gen_es_valloss,21,5,0.3041333854198456,0.5042731165885925,0.9075029492378235,0.7560975551605225
gen_es_valloss,21,6,0.2555359899997711,0.5086983442306519,0.9236811399459839,0.7551594972610474
gen_es_valloss,21,7,0.21730992197990417,0.5195042490959167,0.9397420883178711,0.7532833218574524
gen_es_valloss,21,8,0.18613971769809723,0.5349642634391785,0.9512309432029724,0.7523452043533325
gen_es_valloss,21,9,0.1601371467113495,0.5540990233421326,0.9588510990142822,0.7476547956466675
gen_es_valloss,21,10,0.13813067972660065,0.5760778188705444,0.9667057394981384,0.7448405027389526
gen_es_valloss,42,1,0.6790541410446167,0.6545187830924988,0.6429073810577393,0.7307692170143127
gen_es_valloss,42,2,0.5775232315063477,0.5720918774604797,0.8086752891540527,0.7551594972610474
gen_es_valloss,42,3,0.4492242932319641,0.5241280794143677,0.8588511347770691,0.7626641392707825
gen_es_valloss,42,4,0.3594515025615692,0.5048245787620544,0.8880422115325928,0.7579737305641174
gen_es_valloss,42,5,0.2968853712081909,0.5008191466331482,0.9104337692260742,0.7551594972610474
gen_es_valloss,42,6,0.25004661083221436,0.5057569146156311,0.925791323184967,0.7523452043533325
gen_es_valloss,42,7,0.21310652792453766,0.5165899991989136,0.9410316348075867,0.7514071464538574
gen_es_valloss,42,8,0.1829565167427063,0.5316329002380371,0.9516999125480652,0.7495309710502625
gen_es_valloss,42,9,0.15778252482414246,0.5499874949455261,0.9614302515983582,0.7476547956466675
gen_es_valloss,42,10,0.13642917573451996,0.571043848991394,0.9702227711677551,0.7448405027389526
gen_es_valloss,84,1,0.676677942276001,0.6522669792175293,0.612895667552948,0.7448405027389526
gen_es_valloss,84,2,0.5773635506629944,0.5732014179229736,0.8052754998207092,0.7420262694358826
gen_es_valloss,84,3,0.4518197774887085,0.5246018171310425,0.8599061965942383,0.7457786202430725
gen_es_valloss,84,4,0.36126837134361267,0.5046557188034058,0.8889800906181335,0.7448405027389526
gen_es_valloss,84,5,0.2979127764701843,0.5002306699752808,0.9126611948013306,0.7523452043533325
