experiment,n_seeds,parameters,dropout,l2,early_stopping_monitor,ngrams,val_f1_tuned_mean,val_f1_tuned_std,val_f1_ci_low,val_f1_ci_high,val_loss_mean,val_loss_std,val_accuracy_mean,best_threshold_mean,epochs_mean,composite_score
gen2_unigrams_valloss,10,320065,0.0,0.0,val_loss,1,0.7752651265821134,0.0019982413759310085,0.7740604078182719,0.7764012255988816,0.48786007761955263,0.0021452573790251253,0.7666979362101314,0.4227513313293457,8.0,0.8708684115890006
gen2_unigrams_dropout02,10,320065,0.2,0.0,val_f1,1,0.7750812255485264,0.005030012203664409,0.7721062771847085,0.7780668912431739,0.4865692675113678,0.0016395012401192865,0.7667917448405254,0.41730210185050964,8.7,0.6405880521214414
gen2_dropout01_valloss,10,320065,0.1,0.0,val_loss,2,0.7746826328715792,0.0023660227553790034,0.7733136791373213,0.7760599220327236,0.5014719516038895,0.0010866755980240709,0.7575984990619138,0.39977455139160156,10.0,0.5615701778664617
gen2_dropout03_valloss,10,320065,0.3,0.0,val_loss,2,0.774603930197317,0.002030479148873024,0.7734532719584983,0.7758009383739051,0.5008706212043762,0.0022447808434376717,0.7579737335834896,0.40483926236629486,11.1,0.46837593348975853
gen_es_valloss,10,320065,0.0,0.0,val_loss,2,0.773923362059852,0.0017218402135399911,0.7728881861862935,0.7748820916332283,0.5017056465148926,0.0013518580033448791,0.7573170731707318,0.37979147732257845,10.0,0.32966134865069463
gen2_dropout02_valloss,10,320065,0.2,0.0,val_loss,2,0.7741546179617853,0.002135888769102217,0.7730405040482039,0.7755973447066903,0.501901850104332,0.0018693363189140981,0.7576923076923077,0.38979915380477903,10.6,0.328687465178767
