experiment,description,seed,max_tokens,ngrams,normalize_tfidf,hidden_units,parameters,learning_rate,batch_size,epochs_requested,epochs_ran,dropout,l2,train_limit,best_threshold,val_f1_tuned,val_accuracy,val_precision,val_recall,val_f1,optimizer,momentum
e2_more_capacity,Mayor capacidad: mas neuronas en una sola capa oculta.,21,5000,1,False,"(128,)",640257,0.001,32,12,9,0.0,0.0,all,0.5262476801872253,0.7647593097184379,0.7532833020637899,0.735191637630662,0.7917448405253283,0.7624209575429087,adam,0.0
e2_more_capacity,Mayor capacidad: mas neuronas en una sola capa oculta.,42,5000,1,False,"(128,)",640257,0.001,32,12,6,0.0,0.0,all,0.3677816689014435,0.7699917559769168,0.7439024390243902,0.7313167259786477,0.7711069418386491,0.7506849315068493,adam,0.0
e2_more_capacity,Mayor capacidad: mas neuronas en una sola capa oculta.,84,5000,1,False,"(128,)",640257,0.001,32,12,10,0.0,0.0,all,0.512669026851654,0.7755102040816326,0.7617260787992496,0.7344537815126051,0.8198874296435272,0.774822695035461,adam,0.0
e2_more_capacity,Mayor capacidad: mas neuronas en una sola capa oculta.,126,5000,1,False,"(128,)",640257,0.001,32,12,12,0.0,0.0,all,0.3003396093845367,0.7625113739763422,0.7598499061913696,0.7658349328214972,0.7485928705440901,0.7571157495256167,adam,0.0
e2_more_capacity,Mayor capacidad: mas neuronas en una sola capa oculta.,168,5000,1,False,"(128,)",640257,0.001,32,12,7,0.0,0.0,all,0.3072805106639862,0.7680672268907563,0.7467166979362101,0.7335701598579041,0.774859287054409,0.7536496350364964,adam,0.0
e2_more_capacity,Mayor capacidad: mas neuronas en una sola capa oculta.,210,5000,1,False,"(128,)",640257,0.001,32,12,8,0.0,0.0,all,0.2266701906919479,0.7682008368200837,0.7495309568480301,0.7409420289855072,0.7673545966228893,0.7539170506912443,adam,0.0
e2_more_capacity,Mayor capacidad: mas neuronas en una sola capa oculta.,252,5000,1,False,"(128,)",640257,0.001,32,12,6,0.0,0.0,all,0.3576243221759796,0.7664473684210525,0.7476547842401501,0.7426470588235294,0.7579737335834896,0.7502321262766946,adam,0.0
e2_more_capacity,Mayor capacidad: mas neuronas en una sola capa oculta.,314,5000,1,False,"(128,)",640257,0.001,32,12,9,0.0,0.0,all,0.3864213228225708,0.7707979626485569,0.7467166979362101,0.7145187601957586,0.8217636022514071,0.7643979057591623,adam,0.0
e2_more_capacity,Mayor capacidad: mas neuronas en una sola capa oculta.,420,5000,1,False,"(128,)",640257,0.001,32,12,11,0.0,0.0,all,0.2521006166934967,0.7667238421955404,0.7551594746716698,0.7419928825622776,0.7823639774859287,0.7616438356164383,adam,0.0
e3_dropout_32,Red chica con dropout moderado.,7,5000,1,False,"(32,)",160065,0.001,32,12,7,0.2,0.0,all,0.3780063390731811,0.7698961937716264,0.7542213883677298,0.7532710280373832,0.7560975609756098,0.7546816479400749,adam,0.0
e3_dropout_32,Red chica con dropout moderado.,21,5000,1,False,"(32,)",160065,0.001,32,12,9,0.2,0.0,all,0.2421501576900482,0.768839966130398,0.7551594746716698,0.7518518518518519,0.7617260787992496,0.7567567567567568,adam,0.0
e3_dropout_32,Red chica con dropout moderado.,42,5000,1,False,"(32,)",160065,0.001,32,12,6,0.2,0.0,all,0.4200803339481354,0.7661016949152543,0.7542213883677298,0.7441441441441441,0.774859287054409,0.7591911764705882,adam,0.0
e3_dropout_32,Red chica con dropout moderado.,84,5000,1,False,"(32,)",160065,0.001,32,12,10,0.2,0.0,all,0.3220604360103607,0.7681660899653979,0.7542213883677298,0.7432675044883303,0.776735459662289,0.7596330275229358,adam,0.0
e3_dropout_32,Red chica con dropout moderado.,126,5000,1,False,"(32,)",160065,0.001,32,12,12,0.2,0.0,all,0.1219976395368576,0.7658495350803043,0.7504690431519699,0.7467652495378928,0.7579737335834896,0.7523277467411545,adam,0.0
e3_dropout_32,Red chica con dropout moderado.,168,5000,1,False,"(32,)",160065,0.001,32,12,9,0.2,0.0,all,0.4254071116447449,0.7668202764976959,0.7551594746716698,0.7625482625482626,0.7410881801125704,0.7516650808753568,adam,0.0
e3_dropout_32,Red chica con dropout moderado.,210,5000,1,False,"(32,)",160065,0.001,32,12,10,0.2,0.0,all,0.3519452512264251,0.768,0.7560975609756098,0.7513812154696132,0.7654784240150094,0.758364312267658,adam,0.0
e3_dropout_32,Red chica con dropout moderado.,252,5000,1,False,"(32,)",160065,0.001,32,12,7,0.2,0.0,all,0.3567561507225036,0.7717206132879044,0.7589118198874296,0.7536764705882353,0.7692307692307693,0.7613741875580315,adam,0.0
e3_dropout_32,Red chica con dropout moderado.,314,5000,1,False,"(32,)",160065,0.001,32,12,9,0.2,0.0,all,0.2721305787563324,0.7723440134907251,0.7514071294559099,0.7342657342657343,0.7879924953095685,0.7601809954751131,adam,0.0
